ID,RA_1,Dec_1,PhotoFlag,FWHM,r_petro,er_petro
SPLUS.STRIPE82-0001.02039.griz,359.9397,-1.2258,3,57.44,16.24,0.03
SPLUS.STRIPE82-0001.03217.griz,359.9707,-1.2178,2,7.89,16.5,0.03
SPLUS.STRIPE82-0001.03462.griz,0.1286,-1.213,3,4.75,15.8,0.02
SPLUS.STRIPE82-0001.03521.griz,0.0559,-1.2136,2,14.99,16.34,0.02
SPLUS.STRIPE82-0001.03529.griz,0.0232,-1.2161,2,14.62,16.66,0.02
SPLUS.STRIPE82-0001.03897.griz,0.2156,-1.1983,2,4.79,16.77,0.02
SPLUS.STRIPE82-0001.04092.griz,0.1664,-1.1912,0,7.85,16.88,0.02
SPLUS.STRIPE82-0001.04209.griz,359.5937,-1.1828,0,6.71,16.72,0.02
SPLUS.STRIPE82-0001.04261.griz,359.7408,-1.1574,2,4.99,16.05,0.02
SPLUS.STRIPE82-0001.04390.griz,0.2207,-1.1724,3,6.95,16.93,0.02
SPLUS.STRIPE82-0001.04450.griz,359.9227,-1.1673,2,4.36,16.26,0.02
SPLUS.STRIPE82-0001.04690.griz,359.6376,-1.1449,0,4.68,15.88,0.02
SPLUS.STRIPE82-0001.04801.griz,359.3643,-1.1314,3,4.7,14.72,0.02
SPLUS.STRIPE82-0001.05080.griz,359.6428,-1.1289,0,4.52,15.66,0.02
SPLUS.STRIPE82-0001.05556.griz,0.2229,-1.1152,0,5.35,16.11,0.02
SPLUS.STRIPE82-0001.05710.griz,0.2457,-1.1079999999999999,2,8.94,16.09,0.02
SPLUS.STRIPE82-0001.06100.griz,359.5175,-1.0691,3,5.64,16.16,0.02
SPLUS.STRIPE82-0001.06137.griz,0.5112,-1.0858,0,4.75,16.52,0.02
SPLUS.STRIPE82-0001.06710.griz,359.4851,-1.0581,0,12.86,16.26,0.02
SPLUS.STRIPE82-0001.07274.griz,359.541,-1.0318,2,4.14,16.65,0.02
SPLUS.STRIPE82-0001.08015.griz,0.6892,-0.9934,0,16.76,16.53,0.02
SPLUS.STRIPE82-0001.08226.griz,359.5261,-0.9873,0,10.84,16.36,0.02
SPLUS.STRIPE82-0001.08658.griz,0.5065,-0.9612,0,4.72,16.06,0.02
SPLUS.STRIPE82-0001.08662.griz,359.6077,-0.9655,0,11.06,15.67,0.02
SPLUS.STRIPE82-0001.09418.griz,359.6946,-0.9269,0,15.38,16.25,0.02
SPLUS.STRIPE82-0001.09777.griz,0.5156,-0.907,2,6.77,16.58,0.02
SPLUS.STRIPE82-0001.09899.griz,0.6970000000000001,-0.893,2,4.67,16.8,0.02
SPLUS.STRIPE82-0001.10167.griz,359.5367,-0.8867,2,4.02,16.51,0.02
SPLUS.STRIPE82-0001.10635.griz,0.3489,-0.8519,3,5.93,16.1,0.02
SPLUS.STRIPE82-0001.11896.griz,359.3537,-0.7949,0,7.17,16.95,0.02
SPLUS.STRIPE82-0001.12213.griz,359.5203,-0.7813,2,17.33,16.42,0.02
SPLUS.STRIPE82-0001.12430.griz,0.6231,-0.7595,3,14.49,16.68,0.02
SPLUS.STRIPE82-0001.12998.griz,359.3378,-0.7371,2,9.04,16.35,0.02
SPLUS.STRIPE82-0001.13351.griz,0.1638,-0.0134,0,6.31,15.97,0.02
SPLUS.STRIPE82-0001.13589.griz,0.3597,-0.0286,3,6.7,16.76,0.02
SPLUS.STRIPE82-0001.13791.griz,0.0326,-0.0405,0,10.73,14.73,0.02
